"LOAN_ID","MEMBER_ID","LOAN_AMOUNT","FUNDED_AMOUNT","TERM","INTEREST_RATE","EXPECTED_DEFAULT_RATE","SERVICE_FEE_RATE","INSTALLMENT","GRADE","SUBGRADE","EMPLOYMENT_LENGTH","HOME_OWNERSHIP","ANNUAL_INCOME","ANNUAL_INCOME_VERIFIED","ACCEPTED_DATE","EXPIRATION_DATE","LISTING_DATE","CREDIT_PULL_DATE","REVIEW_STATUS_DATE","REVIEW_STATUS","DESCRIPTION","PURPOSE","ADDRESS_ZIP","ADDRESS_STATE","INVESTOR_COUNT","INITIAL_LIST_STATUS","EMP_TITLE","INITIAL_LIST_STATUS_EXPIRE_DATE","ACCOUNTS_NOW_DELINQUENT","ACCOUNTS_OPEN_IN_PAST_24_MTHS","BANK_CARDS_AMOUNT_OPEN_TO_BUY","BANK_CARDS_UTILIZATION_RATIO","DEBT_TO_INCOME_RATIO","DELINQUENCIES_IN_LAST_2_YEARS","DELINQUENT_AMOUNT","EARLIEST_CREDIT_LINE_DATE","FICO_RANGE_LOW","FICO_RANGE_HIGH","INQUIRIES_IN_LAST_6_MONTHS","MONTHS_SINCE_LAST_DELINQUENCY","MONTHS_SINCE_LAST_RECORD","MONTHS_SINCE_LAST_INQUIRY","MONTHS_SINCE_RECENT_REVOLVING_DELINQUENCY","MONTHS_SINCE_RECENT_BANK_CARD","MORTGAGE_ACCOUNTS","OPEN_ACCOUNTS","PUBLIC_RECORDS","TOTAL_BALANCE_EXCLUDING_MORTGAGE","REVOLVING_BALANCE","REVOLVING_UTILIZATION","TOTAL_BANK_CARD_LIMIT","TOTAL_ACCOUNTS","TOTAL_IL_HIGH_CREDIT_LIMIT","NUM_REV_ACCTS","MTHS_SINCE_RECENT_BC_DLQ","PUB_REC_BANKRUPTCIES","NUM_ACCTS_EVER_120_PPD","CHARGEOFF_WITHIN_12_MTHS","COLLECTIONS_12_MTHS_EXMED","TAX_LIENS","MTHS_SINCE_LAST_MAJOR_DEROG","NUM_STATS","NUM_TL_OP_PAST_12_M","MO_SIN_RCNT_TL","TO_HI_CRED_LIM","TO_CUR_BAL","AVG_CUR_BAL","NUM_BC_TL","NUM_ACTV_BC_TL","NUM_BC_STATS","PCT_TL_NVR_DLQ","NUM_TL_90_G_DPD_24_M","NUM_TL_30_DPD","NUM_TL_120_DPD_2_M","NUM_IL_TL","MO_SIN_OLD_IL_ACCT","NUM_ACTV_REV_TL","MO_SIN_OLD_REV_TL_OP","MO_SIN_RCNT_REV_TL_OP","TOTAL_REV_HI_LIM","NUM_REV_TL_BAL_GT0","NUM_OP_REV_TL","TOT_COLL_AMT","PERCENT_OF_BANK_CARDS_OVER_75_PERCENT_UTIL"
"40922098","43797922","15475.0","15450.0","60","17.57","7.85","0.61","389.36","D","D4","60","MORTGAGE","36900.0","NOT_VERIFIED","2015-02-14T17:18:11.000-08:00","2015-02-28T17:27:08.000-08:00","2015-02-14T18:00:00.000-08:00","2015-02-14T17:14:58.000-08:00","","NOT_APPROVED","","debt_consolidation","447xx","OH","0","F","driving cars","2015-02-14T18:00:00.000-08:00","0","2","20532","36.4","25.71","0","0.0","1992-12-14T16:00:00.000-08:00","725","729","2","","","5","","51","2","9","0","25490","11768.0","34.1","32300","32","14375","25","","0","0","0","0","0","","9","2","5","146375","121949","13550","15","3","5","100","0","0","0","5","132","3","266","31","34500","3","7","0","40.0"
"40991309","43867142","2500.0","2475.0","36","9.17","3.0","0.85","79.7","B","B2","48","OWN","30000.0","NOT_VERIFIED","2015-02-14T12:01:21.000-08:00","2015-02-28T12:15:20.000-08:00","2015-02-14T14:00:00.000-08:00","2015-02-14T11:56:19.000-08:00","","NOT_APPROVED","","debt_consolidation","430xx","OH","0","F","streetscape installer","2015-02-14T14:00:00.000-08:00","0","2","1294","87.1","13.6","0","0.0","1992-07-13T17:00:00.000-07:00","775","779","0","","","22","","271","3","5","0","33555","33555.0","93.2","10000","14","0","10","","0","0","0","0","0","","5","0","20","212000","195035","48759","4","1","1","100","0","0","0","1","35","2","271","23","36000","2","4","0","100.0"
"41169895","44045607","4800.0","4775.0","36","17.86","9.3","1.05","173.2","D","D5","120","OWN","50000.0","NOT_VERIFIED","2015-02-14T16:32:20.000-08:00","2015-02-28T17:05:29.000-08:00","2015-02-14T18:00:00.000-08:00","2015-02-10T04:48:59.000-08:00","","NOT_APPROVED","","small_business","788xx","TX","0","F","owner","2015-02-14T18:00:00.000-08:00","0","2","365","89.9","3.91","0","0.0","2004-09-09T17:00:00.000-07:00","665","669","0","","","","","5","0","5","0","4100","4100.0","87.2","3600","7","0","7","","0","0","0","0","0","","5","1","5","4700","4100","820","4","3","3","100","0","0","0","0","","5","125","5","4700","5","5","0","100.0"
"41040808","43916611","34750.0","34725.0","36","21.67","11.0","1.11","1321.2","E","E5","48","RENT","200000.0","NOT_VERIFIED","2015-02-14T16:50:30.000-08:00","2015-02-28T16:52:09.000-08:00","2015-02-14T18:00:00.000-08:00","2015-02-12T08:07:39.000-08:00","","NOT_APPROVED","","small_business","100xx","NY","0","F","Chief Product Officer","2015-02-14T18:00:00.000-08:00","0","5","33349","13.7","2.51","1","0.0","2006-08-11T17:00:00.000-07:00","705","709","2","9","","3","9","3","0","23","0","287417","5879.0","11.2","38600","43","218498","19","","0","1","0","0","0","","23","4","1","270998","287417","12496","13","5","12","94","0","0","0","24","102","8","101","1","52500","8","16","0","0.0"
"39630996","42454806","12000.0","11925.0","60","9.17","3.3","0.53","250.1","B","B2","120","MORTGAGE","85000.0","NOT_VERIFIED","2015-02-10T18:33:08.000-08:00","2015-02-25T18:20:38.000-08:00","2015-02-12T06:00:00.000-08:00","2015-02-08T13:36:55.000-08:00","2015-02-13T11:06:55.000-08:00","APPROVED","","debt_consolidation","436xx","OH","0","F","Engineer","2015-02-12T06:00:00.000-08:00","0","8","5086","68.4","14.97","0","0.0","1995-09-07T17:00:00.000-07:00","715","719","1","72","","2","","2","3","11","0","50058","11014.0","60.9","16100","39","47506","30","","0","0","0","0","0","","11","2","2","104881","87477","8748","18","5","7","100","0","0","0","6","149","5","233","2","18100","5","8","0","66.7"
"41150860","44026669","6000.0","5775.0","36","6.92","1.7","0.78","185.05","A","A4","108","OWN","92000.0","NOT_VERIFIED","2015-02-11T09:09:57.000-08:00","2015-02-25T09:16:36.000-08:00","2015-02-11T10:00:00.000-08:00","2015-02-11T09:09:07.000-08:00","2015-02-13T07:31:01.000-08:00","APPROVED","","home_improvement","853xx","AZ","0","F","Security","2015-02-11T10:00:00.000-08:00","0","12","14753","73.3","33.56","0","0.0","1993-06-10T17:00:00.000-07:00","680","684","1","28","","0","","7","4","21","0","122175","47016.0","64.8","55300","59","83966","35","","0","1","0","0","0","28","21","5","7","156566","122175","5818","25","12","12","98","0","0","0","19","127","14","257","7","72600","14","17","0","33.3"
"41050135","43925901","15400.0","14375.0","60","8.18","2.4","0.53","313.59","B","B1","0","MORTGAGE","111000.0","VERIFIED","2015-02-11T05:43:37.000-08:00","2015-02-25T05:45:55.000-08:00","2015-02-11T06:00:00.000-08:00","2015-02-11T05:39:48.000-08:00","2015-02-13T15:49:43.000-08:00","APPROVED","","debt_consolidation","650xx","MO","0","F","","2015-02-11T06:00:00.000-08:00","0","6","10857","61.1","23.94","0","0.0","2003-10-10T17:00:00.000-07:00","725","729","0","","","7","","19","5","16","0","105726","18297.0","38.8","27900","38","139699","16","","0","0","0","0","0","","16","2","7","474099","384226","24014","11","5","6","100","0","0","0","17","136","6","112","19","47100","6","10","0","50.0"
"40583478","43448311","9000.0","7975.0","36","7.89","2.15","0.78","281.58","A","A5","108","MORTGAGE","26650.0","NOT_VERIFIED","2015-02-11T08:45:40.000-08:00","2015-02-25T08:49:31.000-08:00","2015-02-11T10:00:00.000-08:00","2015-02-11T07:25:35.000-08:00","","NOT_APPROVED","","credit_card","398xx","GA","0","F","BOOKKEEPER","2015-02-11T10:00:00.000-08:00","0","2","6912","62.0","23.33","0","0.0","2007-06-10T17:00:00.000-07:00","715","719","0","","","12","","12","2","8","0","13430","11891.0","52.2","18200","11","6418","8","","0","0","0","0","0","","8","1","12","65820","36197","4525","4","3","4","100","0","0","0","1","28","5","92","12","22800","5","6","0","50.0"
"40981045","43856847","6000.0","5700.0","36","10.99","4.3","0.85","196.41","B","B4","0","RENT","27000.0","NOT_VERIFIED","2015-02-12T15:19:30.000-08:00","2015-02-26T15:25:32.000-08:00","2015-02-12T18:00:00.000-08:00","2015-02-12T15:17:23.000-08:00","","NOT_APPROVED","","credit_card","704xx","LA","0","F","","2015-02-12T18:00:00.000-08:00","0","4","25368","18.7","21.47","1","0.0","2003-09-11T17:00:00.000-07:00","700","704","2","16","","3","","4","0","10","0","118298","5832.0","18.7","31200","12","41500","9","","0","1","0","0","0","34","10","2","4","150852","118298","13144","7","1","7","83","0","0","0","1","80","1","137","4","31200","2","8","0","14.3"
"41141288","44017115","15000.0","14600.0","36","8.18","2.2","0.85","471.3","B","B1","60","RENT","67000.0","VERIFIED","2015-02-12T09:57:50.000-08:00","2015-02-26T10:12:54.000-08:00","2015-02-12T14:00:00.000-08:00","2015-02-12T09:51:25.000-08:00","2015-02-13T14:51:47.000-08:00","APPROVED","","debt_consolidation","240xx","VA","0","F","Manager","2015-02-12T14:00:00.000-08:00","0","7","13767","30.8","23.39","0","0.0","1977-06-11T17:00:00.000-07:00","715","719","1","45","","3","45","5","0","12","0","37090","7495.0","30.6","19900","38","39536","27","45","0","1","0","0","0","53","12","6","5","80168","37090","3091","10","4","6","84","0","0","0","10","120","6","305","5","24500","6","8","0","0.0"
