accruedInterest,canBeTraded,creditTrend,currentPaymentStatus,grade,interestPending,interestRate,interestReceived,issueDate,lastPaymentDate,loanAmount,loanId,loanLength,loanStatus,loanStatusDate,nextPaymentDate,noteAmount,noteId,orderDate,orderId,paymentsReceived,portfolioId,portfolioName,principalPending,principalReceived,purpose
0.28,True,UP,Completed,F5,0.25,22.35,13.32,2012-01-19 00:00:00,2015-01-23 14:13:15,28000,718636,60,Current,2012-02-19 00:00:00,2015-02-26 00:00:00,25,8158903,2012-01-12 00:00:00,2202748,24.9,546367,Loan Portfolio,13.42,11.58,Credit card refinancing
0.0,True,DOWN,ChargedOff,G1,0.0,22.74,8.92,2012-01-13 00:00:00,2013-10-29 11:31:51,20000,1100379,60,Charged Off,2014-03-20 00:00:00,2014-03-06 00:00:00,25,8158905,2012-01-12 00:00:00,2202748,14.73,546367,Loan Portfolio,19.22,5.78,Home buying
0.0,True,DOWN,ChargedOff,A5,0.0,8.9,2.7,2012-01-25 00:00:00,2013-09-05 11:26:14,35000,1101367,36,Charged Off,2014-01-31 00:00:00,2014-01-29 00:00:00,25,8158908,2012-01-12 00:00:00,2202748,15.01,546367,Loan Portfolio,12.69,12.31,Business
0.0,True,DOWN,Paid Off,B3,0.0,11.71,6.0,2012-01-24 00:00:00,2014-08-28 11:21:22,21200,1102380,60,Fully Paid,2014-08-29 00:00:00,2014-10-01 00:00:00,25,8158900,2012-01-12 00:00:00,2202748,31.0,546367,Loan Portfolio,0.0,25.0,Business
0.0,True,DOWN,Paid Off,B2,0.0,10.65,1.97,2012-01-19 00:00:00,2012-11-29 13:39:31,35000,1102523,36,Fully Paid,2012-12-10 00:00:00,2012-12-31 00:00:00,25,8158901,2012-01-12 00:00:00,2202748,26.97,546367,Loan Portfolio,0.0,25.0,Car financing
0.0,True,DOWN,ChargedOff,E1,0.0,18.64,5.02,2012-01-24 00:00:00,2013-04-16 13:29:18,35000,1104418,60,Charged Off,2013-08-30 00:00:00,2013-08-29 00:00:00,25,8158907,2012-01-12 00:00:00,2202748,8.96,546367,Loan Portfolio,21.06,3.94,Business
0.1,True,UP,Completed,F1,0.0,20.89,12.37,2012-02-13 00:00:00,2015-02-17 12:11:07,35000,1126476,60,Current,2012-03-10 00:00:00,2015-03-17 00:00:00,25,8620575,2012-02-06 00:00:00,2289225,24.18,546367,Loan Portfolio,13.2,11.8,Debt consolidation
0.0,True,DOWN,Paid Off,D5,0.0,18.25,7.6,2012-02-09 00:00:00,2015-02-20 14:46:29,7500,1130745,36,Fully Paid,2015-02-20 00:00:00,2015-03-19 00:00:00,25,8620577,2012-02-06 00:00:00,2289225,32.6,546367,Loan Portfolio,0.0,25.0,Other
0.0,True,UP,Paid Off,D5,0.0,18.25,3.1,2012-02-07 00:00:00,2012-11-23 13:44:59,12600,1135751,36,Fully Paid,2012-11-30 00:00:00,2012-12-20 00:00:00,25,8620578,2012-02-06 00:00:00,2289225,28.1,546367,Loan Portfolio,0.0,25.0,Credit card refinancing
0.0,True,DOWN,Paid Off,C4,0.0,15.81,4.5,2012-03-15 00:00:00,2013-07-08 10:15:13,7950,1181006,60,Fully Paid,2013-07-08 00:00:00,2013-07-30 00:00:00,25,9358272,2012-03-13 00:00:00,2455788,29.5,546367,Loan Portfolio,0.0,25.0,Debt consolidation
